Timestamp;Task;Backend;Modello;Temperatura;Emozione;Stile;BPM;Voci;Battute;Prompt_Type;Usa_RE2;Latenza_Totale (s);Latenza_Per_Battuta (s);Cicli_Refine
2026-06-15 16:07:13;Completed;Claude;claude-haiku-4-5-20251001;0.13937007784843447;Relaxed;auto;Auto;4;2;Few-Shot;False;12.227;6.114;0
2026-06-15 16:07:25;Completed;Claude;claude-haiku-4-5-20251001;0.13937007784843447;Excited;auto;72;4;2;Few-Shot;False;11.373;5.686;0
2026-06-15 16:07:53;Completed;Claude;claude-haiku-4-5-20251001;0.13937007784843447;Excited;auto;72;4;2;Few-Shot;False;12.508;6.254;0
2026-06-15 16:08:19;Completed;Claude;claude-haiku-4-5-20251001;0.13937007784843447;Sad;auto;72;4;2;Few-Shot;False;11.948;5.974;0
