Timestamp;Task;Backend;Modello;Temperatura;Emozione;Stile;BPM;Voci;Battute;Prompt_Type;Usa_RE2;Latenza_Totale (s);Latenza_Per_Battuta (s);Cicli_Refine
2026-06-15 14:43:14;Completed;Claude;claude-opus-4-8;0.12913385927677157;Relaxed;auto;Auto;4;2;Few-Shot;False;18.802;9.401;0
2026-06-15 14:43:38;Completed;Claude;claude-opus-4-8;0.12913385927677157;Excited;auto;72;4;2;Few-Shot;False;23.498;11.749;0
2026-06-15 14:43:57;Completed;Claude;claude-opus-4-8;0.12913385927677157;Excited;auto;72;4;2;Few-Shot;False;18.434;9.217;0
2026-06-15 14:44:14;Completed;Claude;claude-opus-4-8;0.12913385927677157;Sad;auto;72;4;2;Few-Shot;False;17.608;8.804;0
