Timestamp;Task;Backend;Modello;Temperatura;Emozione;Stile;BPM;Voci;Battute;Prompt_Type;Usa_RE2;Latenza_Totale (s);Latenza_Per_Battuta (s);Cicli_Refine
2026-06-17 10:46:30;Completed;Claude;claude-opus-4-8;0.1496062994003296;Relaxed;auto;Auto;3;2;Zero-Shot;True;15.675;7.838;0
2026-06-17 10:46:46;Completed;Claude;claude-opus-4-8;0.1496062994003296;Excited;auto;76;3;2;Zero-Shot;True;15.275;7.638;0
2026-06-17 10:47:01;Completed;Claude;claude-opus-4-8;0.1496062994003296;Excited;auto;76;3;2;Zero-Shot;True;15.358;7.679;0
2026-06-17 10:47:18;Completed;Claude;claude-opus-4-8;0.1496062994003296;Sad;auto;76;3;2;Zero-Shot;True;16.269;8.134;0
